,Artist,Song,Gender
1,Wham!,Careless Whisper,Male Group
2,Madonna,Like A Virgin,Female
3,Wham!,Wake Me Up Before You Go-Go,Male Group
4,Foreigner,I Want To Know What Love Is,Male Group
5,Chaka Khan,I Feel For You,Female
6,Daryl Hall and John Oates,Out Of Touch,Male Group
7,Tears For Fears,Everybody Wants To Rule The World,Male Group
8,Dire Straits,Money For Nothing,Male Group
9,Madonna,Crazy For You,Female
10,A-Ha,Take On Me,Male Group
11,Paul Young,Everytime You Go Away,Male
12,Phil Collins and Philip Bailey,Easy Lover,Male Group
13,REO Speedwagon,Can’t Fight This Feeling,Male Group
14,Starship,We Built This City,Mixed Group
15,Huey Lewis and The News,The Power Of Love,Male Group
16,Simple Minds,Don’t You (Forget About Me),Male Group
17,Kool and The Gang,Cherish,Male Group
18,John Parr,St. Elmo’s Fire (Man In Motion),Male
19,Glenn Frey,The Heat Is On,Male
20,U.S.A. For Africa,We Are The World,Mixed Group
21,Tears For Fears,Shout,Male Group
22,Stevie Wonder,Part-Time Lover,Male
23,Whitney Houston,Saving All My Love For You,Female
24,Bryan Adams,Heaven,Male
25,Wham!,Everything She Wants,Male Group
26,New Edition,Cool It Now,Male Group
27,Jan Hammer,Miami Vice Theme,Male
28,Billy Ocean,Lover Boy,Male
29,Teena Marie,Lover Girl,Female
30,Glenn Frey,You Belong To The City,Male
31,Ready For The World,Oh Sheila,Male Group
32,Debarge,Rhythm Of The Night,Mixed Group
33,Phil Collins,One More Night,Male
34,Honeydrippers,Sea Of Love,Male Group
35,Duran Duran,A View To A Kill,Male Group
36,Duran Duran,The Wild Boys,Male Group
37,Chicago,You’re The Inspiration,Male Group
38,Pointer Sisters,Neutron Dance,Female Group
39,Pat Benatar,We Belong,Female
40,Commodores,Nightshift,Male Group
41,Howard Jones,Things Can Only Get Better,Male
42,Jack Wagner,All I Need,Male
43,Aretha Franklin,Freeway Of Love,Female
44,Corey Hart,Never Surrender,Male
45,Phil Collins,Sussudio,Male
46,Sheena Easton,Strut,Female
47,Whitney Houston,You Give Good Love,Female
48,Survivor,The Search Is Over,Male Group
49,Diana Ross,Missing You,Female
50,Phil Collins and Marilyn Martin,Separate Lives,Mixed Group
51,Prince and The Revolution,Raspberry Beret,Male
52,Billy Ocean,Suddenly,Male
53,Don Henley,The Boys Of Summer,Male
54,Murray Head,One Night In Bangkok,Male
55,Sting,If You Love Somebody Set Them Free,Male
56,Animotion,Obsession,Mixed Group
57,Tina Turner,We Don’t Need Another Hero,Female
58,Madonna,Material Girl,Female
59,Tina Turner,Better Be Good To Me,Female
60,Tears For Fears,Head Over Heels,Male Group
61,Harold Faltermeyer,Axel F,Male
62,Sade,Smooth Operator,Female
63,Mary Jane Girls,In My House,Female Group
64,Phil Collins,Don’t Lose My Number,Male
65,Cyndi Lauper,All Through The Night,Female
66,Bryan Adams,Run To You,Male
67,Bruce Springsteen,Glory Days,Male
68,‘Til Tuesday,Voices Carry,Mixed Group
69,Kool and The Gang,Misled,Male Group
70,Eurythmics,Would I Lie To You?,Mixed Group
71,ABC,Be Near Me,Male Group
72,Paul McCartney,No More Lonely Nights,Male
73,Survivor,I Can’t Hold Back,Male Group
74,Bryan Adams,Summer Of ’69,Male
75,Katrina and The Waves,Walking On Sunshine,Mixed Group
76,Wham!,Freedom,Male Group
77,Julian Lennon,Too Late For Goodbyes,Male
78,Julian Lennon,Valotte,Male
79,Power Station,Some Like It Hot,Male Group
80,Ashford and Simpson,Solid,Mixed Group
81,Madonna,Angel,Female
82,Bruce Springsteen,I’m On Fire,Male
83,Daryl Hall and John Oates,Method Op Modern Love,Male Group
84,Thompson Twins,Lay Your Hands On Me,Mixed Group
85,Debarge,Who’s Holding Donna Now,Mixed Group
86,John Cougar Mellencamp,Lonely Ol’ Night,Male
87,Heart,What About Love,Mixed Group
88,David Lee Roth,California Girls,Male
89,Kool and The Gang,Fresh,Male Group
90,Jermaine Jackson,Do What You Do,Male
91,The Time,Jungle Of Love,Male Group
92,Bruce Springsteen,Born In The USA,Male
93,Tina Turner,Private Dancer,Female
94,Aretha Franklin,Who’s Zoomin’ Who,Female
95,Sting,Fortress Around Your Heart,Male
96,Lionel Richie,Penny Lover,Male
97,Don Henley,All She Wants To Do Is Dance,Male
98,Madonna,Dress You Up,Female
99,Night Ranger,Sentimental Street,Male Group
100,Sheena Easton,Sugar Walls,Female
