Rank,Artist,Song,Gender,Year
1,Gordon Jenkins and The Weavers,Goodnight Irene,Mixed Group,1950
2,Nat King Cole,Mona Lisa,Male,1950
3,Anton Karas,Third Man Theme,Male,1950
4,Gary and Bing Crosby,Sam’s Song,Male Group,1950
5,Gary and Bing Crosby,Simple Melody,Male Group,1950
6,Teresa Brewer,"Music, Music, Music",Female,1950
7,Guy Lombardo,Third Man Theme,Male,1950
8,Red Foley,Chattanoogie Shoe Shine Boy,Male,1950
9,Sammy Kaye,Harbor Lights,Male,1950
10,Sammy Kaye and Don Cornell,It Isn’t Fair,Male Group,1950
11,Eileen Barton,If I Knew You Were Coming I’d’ve Baked A Cake,Female,1950
12,Kay Starr,Bonaparte’s Retreat,Female,1950
13,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena",Mixed Group,1950
14,Tony Martin,There’s No Tomorrow,Male,1950
15,Phil Harris,The Thing,Male,1950
16,Ames Brothers,Sentimental Me,Male Group,1950
17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved,Mixed Group,1950
18,Patti Page,Tennessee Waltz,Female,1950
19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can’t I",Mixed Group,1950
20,Tennessee Ernie Ford and Kay Starr,I’ll Never Be Free,Mixed Group,1950
21,Patti Page,All My Love,Female,1950
22,Gordon Jenkins,My Foolish Heart,Male,1950
23,Ames Brothers,Rag Mop,Male Group,1950
24,Bill Snyder,Bewitched,Male,1950
25,Perry Como,Hoop-Dee-Doo,Male,1950
26,Gordon Jenkins,Bewitched,Male,1950
27,Ames Brothers,Can Anyone Explain?,Male Group,1950
28,Billy Eckstine,My Foolish Heart,Male,1950
29,Bing Crosby,Dear Hearts And Gentle People,Male,1950
30,Frankie Laine,Cry Of The Wild Goose,Male,1950
1,Perez Prado,Cherry Pink And Apple Blossom White,Male,1955
2,Bill Haley and His Comets,Rock Around The Clock,Male Group,1955
3,Mitch Miller,The Yellow Rose Of Texas,Male,1955
4,Roger Williams,Autumn Leaves,Male,1955
5,Les Baxter,Unchained Melody,Male,1955
6,Bill Hayes,The Ballad Of Davy Crockett,Male,1955
7,Four Aces,Love Is A Many Splendored Thing,Male Group,1955
8,McGuire Sisters,Sincerely,Female Group,1955
9,Pat Boone,Ain’t That A Shame,Male,1955
10,Georgia Gibbs,Dance With Me Henry,Female,1955
11,Crazy Otto,Crazy Otto Medley I & 11,Male,1955
12,Billy Vaughn,Melody Of Love,Male,1955
13,Tennessee Ernie Ford,Sixteen Tons,Male,1955
14,Frank Sinatra,Learnin’ The Blues,Male,1955
15,Fontaine Sisters,Hearts Of Stone,Female Group,1955
16,Georgia Gibbs,Tweedle Dee,Female,1955
17,Four Lads,Moments To Remember,Male Group,1955
18,Chordettes,Mr. Sandman,Female Group,1955
19,Joan Weber,Let Me Go Lover,Female,1955
20,Nat King Cole,A Blossom Fell,Male,1955
21,Al Hibbler,Unchained Melody,Male,1955
22,Fess Parker,The Ballad Of Davy Crockett,Male,1955
23,Art Mooney,Honey Babe,Male,1955
24,Tennessee Ernie Ford,The Ballad Of Davy Crockett,Male,1955
25,Perry Como,Ko Ko Mo,Male,1955
26,Gisele Mackenzie,Hard To Get,Female,1955
27,Ames Brothers,The Naughty Lady Of Shady Lane,Male Group,1955
28,Jaye P. Morgan,That’s All I Want From You,Female ,1955
29,Platters,Only You,Mixed Group,1955
30,Somethin’ Smith and The Redheads,It’s A Sin To Tell A Lie,Male Group,1955
1,Percy Faith,Theme From “A Summer Place”,Male,1960
2,Jim Reeves,He’ll Have To Go,Male,1960
3,Everly Brothers,Cathy’s Clown,Male Group,1960
4,Johnny Preston,Running Bear,Male,1960
5,Mark Dinning,Teen Angel,Male,1960
6,Brenda Lee,I’m Sorry,Female,1960
7,Elvis Presley,It’s Now Or Never,Male,1960
8,Jimmy Jones,Handy Man,Male,1960
