Ranking,Title,Singer
1,Love Yourself,Justin Bieber
2,Sorry,Justin Bieber
3,One Dance,Drake Featuring WizKid & Kyla
4,Work,Rihanna Featuring Drake
5,Stressed Out,twenty one pilots
6,Panda,Desiigner
7,Hello,Adele
8,Don't Let Me Down,The Chainsmokers Featuring Daya
9,Can't Stop The Feeling!,Justin Timberlake
10,Closer,The Chainsmokers Featuring Halsey
11,Cheap Thrills,Sia Featuring Sean Paul
12,7 Years,Lukas Graham
13,Needed Me,Rihanna
14,My House,Flo Rida
15,I Took A Pill In Ibiza,Mike Posner
16,Work From Home,Fifth Harmony Featuring Ty Dolla $ign
17,This Is What You Came For,Calvin Harris Featuring Rihanna
18,Cake By The Ocean,DNCE
19,"Me, Myself & I",G-Eazy x Bebe Rexha
20,Ride,twenty one pilots
21,Heathens,twenty one pilots
22,Pillowtalk,Zayn
23,Stitches,Shawn Mendes
24,Hotline Bling,Drake
25,Cold Water,Major Lazer Featuring Justin Bieber & MO
26,Send My Love (To Your New Lover),Adele
27,Roses,The Chainsmokers Featuring Rozes
28,Treat You Better,Shawn Mendes
29,Too Good,Drake Featuring Rihanna
30,Low Life,Future Featuring The Weeknd
31,What Do You Mean?,Justin Bieber
32,The Hills,The Weeknd
33,Just Like Fire,P!nk
34,Broccoli,D.R.A.M. Featuring Lil Yachty
35,Don't,Bryson Tiller
36,Dangerous Woman,Ariana Grande
37,Jumpman,Drake & Future
38,I Hate U I Love U,gnash Featuring Olivia O'Brien
39,Here,Alessia Cara
40,Same Old Love,Selena Gomez
41,Controlla,Drake
42,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
43,One Call Away,Charlie Puth
44,Let It Go,James Bay
45,No,Meghan Trainor
46,Never Forget You,Zara Larsson & MNEK
47,Let Me Love You,DJ Snake Featuring Justin Bieber
48,Don't Mind,Kent Jones
49,H.O.L.Y.,Florida Georgia Line
50,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez
51,Into You,Ariana Grande
52,Gold,Kiiara
53,Exchange,Bryson Tiller
54,679,Fetty Wap Featuring Remy Boyz
55,Oui,Jeremih
56,Hands To Myself,Selena Gomez
57,2 Phones,Kevin Gates
58,Starboy,The Weeknd Featuring Daft Punk
59,For Free,DJ Khaled Featuring Drake
60,Never Be Like You,Flume Featuring Kai
61,In The Night,The Weeknd
62,Me Too,Meghan Trainor
63,Ex's & Oh's,Elle King
64,Die A Happy Man,Thomas Rhett
65,White Iverson,Post Malone
66,Close,Nick Jonas Featuring Tove Lo
67,Unsteady,X Ambassadors
68,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors"
69,Down In The DM,Yo Gotti Featuring Nicki Minaj
70,Luv,Tory Lanez
71,Sorry,Beyonce
72,Can't Feel My Face,The Weeknd
73,Hymn For The Weekend,Coldplay
74,Say It,Tory Lanez
75,Antidote,Travis Scott
76,Lost Boy,Ruth B
77,Side To Side,Ariana Grande Featuring Nicki Minaj
78,"Sit Still, Look Pretty",Daya
79,Wildest Dreams,Taylor Swift
80,Middle,DJ Snake Featuring Bipolar Sunshine
81,On My Mind,Ellie Goulding
82,Pop Style,Drake Featuring The Throne
83,When We Were Young,Adele
84,Hide Away,Daya
85,Lean On,Major Lazer & DJ Snake Featuring MO
86,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello
88,Watch Me,Silento
89,Back To Sleep,Chris Brown
90,No Limit,Usher Featuring Young Thug
91,Cut It,O.T. Genasis Featuring Young Dolph
92,Really Really,Kevin Gates
93,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap
94,Starving,Hailee Steinfeld & Grey Featuring Zedd
95,Adventure Of A Lifetime,Coldplay
96,Humble And Kind,Tim McGraw
97,Wicked,Future
98,Tiimmy Turner,Desiigner
99,See You Again,Wiz Khalifa Featuring Charlie Puth
100,Perfect,One Direction
