,0,1,2
0,1,Perez Prado,Cherry Pink And Apple Blossom White
1,2,Bill Haley and His Comets,Rock Around The Clock
2,3,Mitch Miller,The Yellow Rose Of Texas
3,4,Roger Williams,Autumn Leaves
4,5,Les Baxter,Unchained Melody
5,6,Bill Hayes,The Ballad Of Davy Crockett
6,7,Four Aces,Love Is A Many Splendored Thing
7,8,McGuire Sisters,Sincerely
8,9,Pat Boone,Ain’t That A Shame
9,10,Georgia Gibbs,Dance With Me Henry
10,11,Crazy Otto,Crazy Otto Medley I & 11
11,12,Billy Vaughn,Melody Of Love
12,13,Tennessee Ernie Ford,Sixteen Tons
13,14,Frank Sinatra,Learnin’ The Blues
14,15,Fontaine Sisters,Hearts Of Stone
15,16,Georgia Gibbs,Tweedle Dee
16,17,Four Lads,Moments To Remember
17,18,Chordettes,Mr. Sandman
18,19,Joan Weber,Let Me Go Lover
19,20,Nat King Cole,A Blossom Fell
20,21,Al Hibbler,Unchained Melody
21,22,Fess Parker,The Ballad Of Davy Crockett
22,23,Art Mooney,Honey Babe
23,24,Tennessee Ernie Ford,The Ballad Of Davy Crockett
24,25,Perry Como,Ko Ko Mo
25,26,Gisele Mackenzie,Hard To Get
26,27,Ames Brothers,The Naughty Lady Of Shady Lane
27,28,Jaye P. Morgan,That’s All I Want From You
28,29,Platters,Only You
29,30,Somethin’ Smith and The Redheads,It’s A Sin To Tell A Lie
