,0,1,2
0,1,Captain and Tennille,Love Will Keep Us Together
1,2,Glen Campbell,Rhinestone Cowboy
2,3,Elton John,Philadelphia Freedom
3,4,Freddy Fender,Before The Next Teardrop Falls
4,5,Frankie Valli,My Eyes Adored You
5,6,"Earth, Wind and Fire",Shining Star
6,7,David Bowie,Fame
7,8,Neil Sedaka,Laughter In The Rain
8,9,Eagles,One Of These Nights
9,10,John Denver,Thank God I’m A Country Boy
10,11,Bee Gees,Jive Talkin’
11,12,Eagles,Best Of My Love
12,13,Minnie Riperton,Lovin’ You
13,14,Carl Douglas,Kung Fu Fighting
14,15,Doobie Brothers,Black Water
15,16,Sweet,Ballroom Blitz
16,17,B.J. Thomas,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song
17,18,Tony Orlando and Dawn,He Don’t Love You (Like I Love You)
18,19,Janis Ian,At Seventeen
19,20,Average White Band,Pick Up The Pieces
20,21,Van McCoy and The Soul City Symphony,The Hustle
21,22,Labelle,Lady Marmalade
22,23,War,Why Can’t We Be Friends?
23,24,Major Harris,Love Wont Let Me Wait
24,25,Stevie Wonder,Boogie On Reggae Woman
25,26,Freddy Fender,Wasted Days And Wasted Nights
26,27,Isley Brothers,"Fight The Power, Pt. 1"
27,28,Helen Reddy,Angie Baby
28,29,Ozark Mountain Daredevil,Jackie Blue
29,30,Ohio Players,Fire
30,31,Pilot,Magic
31,32,Carpenters,Please Mr. Postman
32,33,America,Sister Golden Hair
33,34,Elton John,Lucy In The Sky With Diamonds
34,35,Barry Manilow,Mandy
35,36,Olivia Newton-John,Have You Never Been Mellow
36,37,Barry Manilow,Could It Be Magic
37,38,Harry Chapin,Cat’s In The Cradle
38,39,Michael Murphy,Wildfire
39,40,Jessi Colter,I’m Not Lisa
40,41,Wings,Listen To What The Man Said
41,42,10cc,I’m Not In Love
42,43,Billy Swan,I Can Help
43,44,"Hamilton, Joe Frank and Reynolds",Fallin’ In Love
44,45,Morris Albert,Feelings
45,46,Sammy Johns,Chevy Van
46,47,Linda Ronstadt,When Will I Be Loved
47,48,Barry White,"You’re The First, The Last, My Everthing"
48,49,Olivia Newton-John,Please Mr Please
49,50,Linda Ronstadt,You’re No Good
50,51,Bazuka,Dynomite
51,52,Blackbyrds,Walking In Rhythm
52,53,Gladys Knight and The Pips,The Way We Were / Try To Remember
53,54,Melissa Manchester,Midnight Blue
54,55,Sugarloaf,"Don’t Call Us, We’ll Call You"
55,56,Phoebe Snow,Poetry Man
56,57,Ace,How Long
57,58,B.T. Express,Express
58,59,"Earth, Wind and Fire",That’s The Way Of The World
59,60,Styx,Lady
60,61,Grand Funk,Bad Time
61,62,Alice Cooper,Only Women Bleed
62,63,Carol Douglas,Doctor’s Orders
63,64,K.C. and The Sunshine Band,Get Down Tonight
64,65,Joe Cocker,You Are So Beautiful / It’s A Sin When You Love Somebody
65,66,Paul Anka and Odia Coates,One Man Woman-One Woman Man
66,67,Bad Company,Feel Like Makin’ Love
67,68,James Taylor,How Sweet It Is
68,69,Orleans,Dance With Me
69,70,Average White Band,Cut The Cake
70,71,Gloria Gaynor,Never Can Say Goodbye
71,72,Paul Anka,I Don’t Like To Sleep Alone
72,73,Donny and Marie Osmond,Morning Side Of The Mountain
73,74,Grand Funk,Some Kind Of Wonderful
74,75,Three Degrees,When Will I See You Again
75,76,Joe Simon,"Get Down, Get Down (Get On The Floor)"
76,77,John Denver,I’m Sorry / Calypso
77,78,Queen,Killer Queen
78,79,Eddie Kendricks,Shoeshine Boy
79,80,B.T. Express,Do It (Til You’re Satisfied)
80,81,Electric Light Orchestra,Can’t Get It Out Of My Head
81,82,Al Green,Sha-La-La (Make Me Happy)
82,83,America,Lonely People
83,84,Rufus,You Got The Love
84,85,Mike Post,The Rockford Files
85,86,Tavares,It Only Takes A Minute
86,87,Ringo Starr,No No Song / Snookeroo
87,88,Paul McCartney and Wings,Junior’s Farm / Sally G
88,89,Jethro Tull,Bungle In The Jungle
89,90,Leo Sayer,Long Tall Glasses (I Can Dance)
90,91,Elton John,Someone Saved My Life Tonight
91,92,Ray Stevens,Misty
92,93,Neil Sedaka,Bad Blood
93,94,Carpenters,Only Yesterday
94,95,Dwight Twilley Band,I’m On Fire
95,96,Ringo Starr,Only You
96,97,Amazing Rhythm Aces,Third Rate Romance
97,98,Bachman-Turner Overdrive,You Aint Seen Nothin’ Yet / Free Wheelin’
98,99,Frankie Valli,Swearin’ To God
99,100,Disco Tex and The Sex-O-lettes,Get Dancin’
