,0,1,2
0,1,Wilson Phillips,Hold On
1,2,Roxette,It Must Have Been Love
2,3,Sinead O’Connor,Nothing Compares 2 U
3,4,Bell Biv Devoe,Poison
4,5,Madonna,Vogue
5,6,Mariah Carey,Vision Of Love
6,7,Phil Collins,Another Day In Paradise
7,8,En Vogue,Hold On
8,9,Billy Idol,Cradle Of Love
9,10,Jon Bon Jovi,Blaze Of Glory
10,11,Bell Biv Devoe,Do Me!
11,12,Michael Bolton,How Am I Supposed To Live Without You
12,13,Technotronic,Pump Up The Jam
13,14,Paula Abdul,Opposites Attract
14,15,Janet Jackson,Escapade
15,16,Heart,All I Wanna Do Is Make Love To You
16,17,Maxi Priest,Close To You
17,18,Alannah Myles,Black Velvet
18,19,Wilson Phillips,Release Me
19,20,Linda Ronstadt and Aaron Neville,Don’t Know Much
20,21,Lisa Stansfield,All Around The World
21,22,Calloway,I Wanna Be Rich
22,23,Johnny Gill,Rub You The Right Way
23,24,Glenn Medeiros feat. Bobby Brown,She Ain’t Worth It
24,25,Sweet Sensation,If Wishes Came True
25,26,Snap,The Power
26,27,Nelson,(Can’t Live Without Your) Love And Affection
27,28,Taylor Dayne,Love Will Lead You Back
28,29,Jane Child,Don’t Wanna Fall In Love
29,30,Seduction,Two To Make It Right
30,31,Linear,Sending All My Love
31,32,Poison,Unskinny Bop
32,33,New Kids On The Block,Step By Step
33,34,Roxette,Dangerous
34,35,Billy Joel,We Didn’t Start The Fire
35,36,James Ingram,I Don’t Have The Heart
36,37,Rod Stewart,Downtown Train
37,38,Janet Jackson,Rhythm Nation
38,39,Tommy Page,I’ll Be Your Everything
39,40,B-52’s,Roam
40,41,Jody Watley,Everything
41,42,Soul II Soul,Back To Life
42,43,Luther Vandross,Here And Now
43,44,Janet Jackson,Alright
44,45,Vanilla Ice,Ice Ice Baby
45,46,Milli Vanilli,Blame It On The Rain
46,47,M.C. Hammer,Have You Seen Her
47,48,Taylor Dayne,With Every Beat Of My Heart
48,49,Janet Jackson,Come Back To Me
49,50,Michel’le,No More Lies
50,51,George Michael,Praying For Time
51,52,Michael Bolton,How Can We Be Lovers
52,53,Phil Collins,Do You Remember
53,54,After 7,Ready Or Not
54,55,M.C. Hammer,U Can’t Touch This
55,56,Phil Collins,I Wish It Would Rain Down
56,57,Lou Gramm,Just Between You And Me
57,58,Phil Collins,Something Happened On The Way To Heaven
58,59,Janet Jackson,Black Cat
59,60,After 7,Can’t Stop
60,61,Aerosmith,Janie’s Got A Gun
61,62,Digital Underground,The Humpty Dance
62,63,Taylor Dayne,I’ll Be Your Shelter
63,64,Tom Petty,Free Fallin’
64,65,Pebbles,Giving You The Benefit
65,66,Depeche Mode,Enjoy The Silence
66,67,Tesla,Love Song
67,68,Bad English,Price Of Love
68,69,Tyler Collins,Girls Nite Out
69,70,Go West,King Of Wishful Thinking
70,71,Chicago,What Kind Of Man Would I Be?
71,72,Skid Row,I Remember You
72,73,Technotronic,Get Up! (Before The Night Is Over)
73,74,Gloria Estefan,Here We Are
74,75,Faith No More,Epic
75,76,Mariah Carey,Love Takes Time
76,77,Cher,Just Like Jesse James
77,78,B-52s,Love Shack
78,79,Milli Vanilli,All Or Nothing
79,80,Dino,Romeo
80,81,Black Box,Everybody Everybody
81,82,Billy Joel,I Go To Extremes
82,83,Babyface,Whip Appeal
83,84,Paul Young,Oh Girl
84,85,D-Mob With Cathy Dennis,C’mon And Get My Love
85,86,Paula Abdul,(It’s Just) The Way That You Love Me
86,87,The Cover Girls,We Can’t Go Wrong
87,88,Michael Bolton,When I’m Back On My Feet Again
88,89,Keith Sweat,Make You Sweat
89,90,New Kids On The Block,This One’s For The Children
90,91,Aerosmith,What It Takes
91,92,Kiss,Forever
92,93,The Time,Jerk Out
93,94,Biz Markie,Just A Friend
94,95,A’me Lorain,Whole Wide World
95,96,Motley Crue,Without You
96,97,Jive Bunny and The Master Mixers,Swing The Mood
97,98,Prince,Thieves In The Temple
98,99,Mellow Man Ace,Mentirosa
99,100,Kyper,Tic-Tac-Toe
